-11,-3,0,-1,10,-3,-11,-12,11,12,-3,-1,-8,-9,9,-6,-8,4,-1,-9,1,-7,-11,-8,-6,0,0,5
-11,-4,-11,-5,-10,-11,10,-11,5,10,5,-4,-2,-1,7,-4,11,1,-4,-11,-10,8,12,8,-12,13,2,-39
4,-22,6,-5,-11,-8,30,1,5,-4,-41,48,3,-3,-4,5,-1,4,12,-32,7,-11,0,-11,-83,-13,-9,-33
-1,-12,-6,8,0,-29,22,10,7,7,78,6,-4,-119,6,6,-12,8,-2,-7,30,-9,-5,5,-76,55,8,-38
1,-9,-4,-9,-2,-4,21,-8,-6,-6,11,-57,-6,3,-2,24,-4,-7,-2,-1,24,-4,-5,11,13,-41,7,-3
-2,-7,-6,-2,1,5,-15,-4,-1,5,37,-36,4,-25,-3,2,9,-12,-7,-1,0,4,0,5,-41,14,11,10
-8,-13,-3,12,-9,-6,-1,4,6,-6,-11,18,3,8,11,38,-8,5,-8,20,41,5,-5,7,-6,-8,-8,56
-9,-9,7,11,-11,-17,11,11,4,2,6,13,-11,-12,11,15,-1,-9,-8,-1,11,-3,-6,-6,5,34,-6,23
-12,-8,12,3,-11,-12,6,-10,2,9,4,13,-5,-27,11,3,-11,-11,5,4,12,-10,2,-12,-97,-1,-7,-31
5,31,9,-5,-12,-40,-10,-3,-7,11,-67,-44,0,-97,1,34,-1,11,6,53,13,-2,-7,4,54,42,-4,37
-2,0,-10,-5,10,-11,-9,-7,-5,0,-1,5,-4,-13,-7,-14,-9,6,-12,-8,-12,-10,-1,8,-1,7,3,8
0,20,3,0,3,-25,5,-10,-5,9,-41,-51,-8,-126,-8,3,6,-7,-11,32,20,-8,-8,0,48,69,-8,-43
-7,-5,-12,0,-2,-5,-6,4,9,12,-12,-4,-7,5,7,-9,-8,-3,11,-11,-8,1,12,12,2,6,4,0
-8,4,6,-1,-12,-11,5,8,6,4,9,3,-2,-2,9,7,10,8,-5,-2,21,-1,2,-6,-7,23,7,25
-3,-4,7,-9,11,-21,-1,1,-11,-10,4,-1,-1,-26,-8,-5,-5,10,-10,7,24,-1,-7,-4,-54,5,8,-13
0,-85,8,6,10,-127,-4,7,-3,8,-90,-13,-2,27,11,14,-12,-10,-3,-40,-10,-10,11,7,19,-4,1,58
5,-40,10,11,7,3,-2,7,-5,7,-17,-29,-6,1,5,25,-6,-6,10,4,8,-4,-12,-8,14,9,9,19
4,-9,5,-6,0,-9,-3,-3,9,8,-21,5,-1,-9,0,6,7,12,1,19,7,-1,6,9,42,10,-5,-70
6,-7,-4,-8,10,-12,30,4,0,8,-79,39,10,5,3,-9,11,1,-9,-29,20,4,-12,5,8,4,-6,-73
-7,-10,-11,8,7,8,14,10,8,9,-12,-9,-8,-4,0,-10,4,11,-3,22,8,5,-10,-2,-3,-10,-3,-21
