4,-1,1,1,2,-11,-4,-10,-8,-1,4,-11,7,-18,-13,-19,1,6,6,16,2,8,6,5,-10,27,20,-20,5,18,27,0
0,8,9,33,-9,8,-7,-5,2,-3,-11,-89,1,8,-7,8,-17,-10,-3,-37,-2,-11,-1,1,6,-37,-6,59,-30,-3,-10,-5
18,9,-6,-5,-6,6,-10,-10,-9,-15,-11,-44,15,10,11,0,-8,-7,5,33,-9,2,11,1,-6,-28,6,-14,18,2,-11,-1
-43,-10,-6,6,-9,8,9,-2,8,-2,62,-38,-4,43,4,-23,45,8,-5,34,0,0,-8,-3,4,-32,6,81,6,-51,-41,-34
1,-10,7,-14,-3,-3,5,9,-6,-20,-6,34,5,1,-9,-11,-8,-11,9,1,6,-1,-4,11,5,-3,-38,29,-15,-10,-11,-6
13,3,-8,6,8,1,6,-2,-3,4,-22,8,5,-14,13,12,-10,5,6,-22,11,9,11,-10,-10,-28,1,-16,-33,-2,-1,-5
12,-2,-5,-11,5,9,5,-11,1,33,-10,-34,11,2,11,17,3,6,5,-35,10,-8,-5,0,-1,11,24,45,-1,2,-19,-16
-11,11,-10,30,-4,-11,-8,-5,-2,-14,-28,-10,-7,-23,5,-1,-4,-2,3,19,-9,6,4,6,-6,-4,13,-6,14,-29,-1,-9
-1,-4,0,-19,7,-4,-3,-5,-2,-6,4,4,-8,10,-2,-13,0,-2,-4,-6,-9,7,0,-1,-3,-8,-25,-22,-31,-6,4,-9
-14,-3,-10,-6,10,4,0,4,-10,-6,-15,-26,-7,-15,-5,-23,6,3,5,5,7,-3,3,-9,9,-5,-3,-12,15,2,-2,-2
-11,-3,10,-18,4,-5,7,1,-4,18,-24,-52,2,0,19,9,5,-6,-10,-66,-10,-2,-9,10,4,-31,-3,-3,24,19,-27,6
2,2,3,-3,11,-2,-4,5,-8,-10,8,14,3,8,4,-10,2,-8,2,11,-2,8,7,4,-2,-1,11,-9,14,1,3,6
2,-11,6,1,-9,-11,-5,-9,8,1,-2,-8,-11,2,7,-5,-6,3,0,-11,11,2,0,5,-7,-7,-6,5,8,-8,-13,-1
3,11,3,5,1,-10,-9,-10,-11,20,4,-11,4,7,14,4,10,3,11,13,7,8,11,7,-1,23,41,-41,11,4,17,4
9,-11,1,10,-10,-7,-7,-1,11,5,10,-3,9,12,14,2,-10,-2,-11,14,-3,-11,-2,-7,-9,-2,-8,-52,17,3,-11,5
2,-11,-3,-6,1,-10,0,-3,7,3,3,-1,-11,2,-13,-17,-3,-8,6,-14,2,11,3,7,-2,-7,-17,-18,-4,-4,15,-12
